"Timestamp","Sex","Birthday","Horoscope","Height (cm)","Weight (kg)","Body State","Relationship Status","Relationship Period (Starting Date)","Hometown ","Hobby (Select 3)","Favourite Colour","Movie Preferences","Field of Work/ Study","Family Economy Status","How do you get your energy?","How do you see the world and gather information. ","How do you make your decisions","How much do you plan ahead?","Gift Preferences (Choose 3)"
"2021/05/14 1:02:40 PM GMT+8","Female","1998-05-27","Gemini (May 21-Jun 20)","160","65","Normal","In a Relationship","2019-11-14","Central Region: Selangor, federal territories of Kuala Lumpur and Putrajaya.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Black","Action;Comedy;Drama;Fantasy;Mystery;Romance;Thriller;Western","Science","M40 (Middle 40%)","I","N","T","J","Outfit (T-shirt, shoes, etc..);Vacation;Accompaniment (Pets, etc..)"
"2021/05/14 1:03:14 PM GMT+8","Male","1999-07-27","Leo (July 23-Aug 22)","176","63","Normal","In a Relationship","2017-12-30","East Coast Region: Kelantan, Terengganu, Pahang,","Games (board and computer games);Model & Electronic (tinkering electronics, cars);Sports & Outdoors (e-sports doesn't count)","Black","Action;Comedy;Fantasy;Thriller","Science","M40 (Middle 40%)","I","S","T","P","Technology Gadgets;Hand Made Gift (handmade photobook, etc..);Cash"
"2021/05/14 1:03:54 PM GMT+8","Female","2000-01-30","Aquarius (Jan 20-Feb 18)","156","54","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","White","Action;Comedy;Drama;Romance","Art","B40 (Bottom 40%)","E","S","F","P","Food and Snacks;Technology Gadgets;Hand Made Gift (handmade photobook, etc..)"
"2021/05/14 1:04:17 PM GMT+8","Male","1999-09-22","Virgo (Aug 23-Sep 22)","180","70","Muscular","Single","","East Malaysia: Sabah, Sarawak","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Music (performing or listening)","Black","Action;Comedy;Mystery","Science","M40 (Middle 40%)","I","S","T","J","Technology Gadgets;Outfit (T-shirt, shoes, etc..);Cash"
"2021/05/14 1:04:23 PM GMT+8","Female","1999-09-23","Libra (Sep 23-Oct 22)","168","52","Normal","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Collecting (stamps, coins);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","White","Comedy;Horror;Thriller","Art","M40 (Middle 40%)","I","S","T","J","Cosmetics (Lipstick, perfumes, etc..);Hand Made Gift (handmade photobook, etc..);Vacation"
"2021/05/14 1:07:28 PM GMT+8","Female","2021-05-18","Taurus (Apr 20-May 20)","155","49","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","White","Action;Drama;Mystery;Romance","Science","M40 (Middle 40%)","I","N","F","J","Fitness/ Sports Gadgets;Flower;Cash"
"2021/05/14 1:08:49 PM GMT+8","Female","2021-11-22","Sagittarius (Nov 22-Dec 21)","155","45","Normal","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Performing Arts (drawing, sculpting, cooking);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","Red","Fantasy;Horror;Mystery","Science","M40 (Middle 40%)","I","S","T","P","Technology Gadgets;Jewelry (Necklace, Ring, etc..);Vacation"
"2021/05/14 1:08:50 PM GMT+8","Female","1998-08-27","Virgo (Aug 23-Sep 22)","160","55","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Yellow","Comedy;Drama;Romance;Western","Art","T20 (Top 20%)","I","S","T","J","Fitness/ Sports Gadgets;Stationery;Cash"
"2021/05/14 1:14:41 PM GMT+8","Male","1999-12-15","Sagittarius (Nov 22-Dec 21)","168","50","Normal","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Blue","Action;Comedy;Drama","Science","M40 (Middle 40%)","E","N","T","J","Jewelry (Necklace, Ring, etc..);Outfit (T-shirt, shoes, etc..);Cash"
"2021/05/14 1:21:20 PM GMT+8","Female","1999-11-13","Scorpio (Oct 23-Nov 21)","162","47","Normal","In a Relationship","2019-02-10","East Coast Region: Kelantan, Terengganu, Pahang,","Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","White","Action;Drama;Mystery;Romance","Art","M40 (Middle 40%)","E","S","F","P","Food and Snacks;Fitness/ Sports Gadgets;Outfit (T-shirt, shoes, etc..)"
"2021/05/14 1:30:59 PM GMT+8","Male","2000-05-08","Taurus (Apr 20-May 20)","169","60","Normal","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Games (board and computer games);Model & Electronic (tinkering electronics, cars);Sports & Outdoors (e-sports doesn't count)","Indigo","","Science","T20 (Top 20%)","I","N","T","J","Food and Snacks;Technology Gadgets;Fitness/ Sports Gadgets"
"2021/05/14 1:35:19 PM GMT+8","Male","1999-04-21","Taurus (Apr 20-May 20)","175","70","Normal","In a Relationship","2020-05-21","East Coast Region: Kelantan, Terengganu, Pahang,","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Sports & Outdoors (e-sports doesn't count)","Red","Action","Science","M40 (Middle 40%)","E","S","F","J","Food and Snacks;Stationery;Flower"
"2021/05/14 1:50:07 PM GMT+8","Female","1998-12-07","Sagittarius (Nov 22-Dec 21)","164","57","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Music (performing or listening)","Blue","Action;Comedy;Horror;Mystery;Romance;Thriller;Western","Art","B40 (Bottom 40%)","E","N","T","P","Food and Snacks;Technology Gadgets;Vacation"
"2021/05/14 1:53:09 PM GMT+8","Male","1999-09-14","Virgo (Aug 23-Sep 22)","176","72","Buff","Single","2008-09-14","East Coast Region: Kelantan, Terengganu, Pahang,","Sports & Outdoors (e-sports doesn't count);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","White","Action;Drama;Romance","Science","M40 (Middle 40%)","E","N","F","J","Technology Gadgets;Fitness/ Sports Gadgets;Stationery"
"2021/05/14 1:55:09 PM GMT+8","Female","2021-08-13","Leo (July 23-Aug 22)","158","46","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Model & Electronic (tinkering electronics, cars);Sports & Outdoors (e-sports doesn't count)","Yellow","Comedy;Romance","Art","M40 (Middle 40%)","E","N","F","J","Cosmetics (Lipstick, perfumes, etc..);Vacation;Cash"
"2021/05/14 2:01:07 PM GMT+8","Female","1999-07-13","Cancer (Jun 21-Jul 22)","165","55","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Red","Action;Romance","Art","B40 (Bottom 40%)","E","N","F","P","Cosmetics (Lipstick, perfumes, etc..);Jewelry (Necklace, Ring, etc..);Accompaniment (Pets, etc..)"
"2021/05/14 2:07:32 PM GMT+8","Female","1994-12-24","Capricorn (Dec 22-Jan 19)","151","43","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","White","Comedy;Mystery;Thriller","Science","M40 (Middle 40%)","I","S","F","J","Hand Made Gift (handmade photobook, etc..);Vacation;Cash"
"2021/05/14 2:08:16 PM GMT+8","Male","2021-07-30","Leo (July 23-Aug 22)","175","78","Fat ","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking)","Red","Action;Fantasy;Thriller","Art","B40 (Bottom 40%)","E","S","T","P","Technology Gadgets;Vacation;Cash"
"2021/05/14 2:10:21 PM GMT+8","Male","2000-07-14","Cancer (Jun 21-Jul 22)","170","72","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Model & Electronic (tinkering electronics, cars);Music (performing or listening)","Black","Comedy;Romance;Western","Science","B40 (Bottom 40%)","E","S","T","J","Food and Snacks;Technology Gadgets;Outfit (T-shirt, shoes, etc..)"
"2021/05/14 2:13:58 PM GMT+8","Female","2001-06-25","Cancer (Jun 21-Jul 22)","158","42","Slim","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Sports & Outdoors (e-sports doesn't count);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","Black","Comedy;Drama;Thriller","Science","M40 (Middle 40%)","I","S","F","P","Food and Snacks;Hand Made Gift (handmade photobook, etc..);Vacation"
"2021/05/14 2:15:46 PM GMT+8","Female","2000-05-06","Taurus (Apr 20-May 20)","166","42","Slim","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Music (performing or listening)","White","Comedy;Drama;Romance","Science","M40 (Middle 40%)","I","S","T","P","Hand Made Gift (handmade photobook, etc..);Flower;Vacation"
"2021/05/14 2:34:17 PM GMT+8","Male","2021-03-27","Aries (Mar 21-Apr 19)","170","60","Normal","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","White","Action;Comedy;Fantasy","Science","M40 (Middle 40%)","E","S","T","P","Food and Snacks;Outfit (T-shirt, shoes, etc..);A smile HAHAHAHA"
"2021/05/14 2:36:26 PM GMT+8","Female","1998-07-07","Cancer (Jun 21-Jul 22)","160","45","Normal","Single","","Central Region: Selangor, federal territories of Kuala Lumpur and Putrajaya.","Performing Arts (drawing, sculpting, cooking);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","White","Action;Comedy;Drama;Fantasy;Mystery;Thriller;Western","Science","M40 (Middle 40%)","I","S","F","P","Vacation;Accompaniment (Pets, etc..);Cash"
"2021/05/14 2:38:27 PM GMT+8","Female","1999-10-03","Libra (Sep 23-Oct 22)","161","48","Normal","In a Relationship","1999-09-14","East Coast Region: Kelantan, Terengganu, Pahang,","Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Black","Action;Mystery;Thriller","Art","M40 (Middle 40%)","I","N","F","J","Outfit (T-shirt, shoes, etc..);Vacation;Cash"
"2021/05/14 2:39:17 PM GMT+8","Male","1999-05-28","Gemini (May 21-Jun 20)","175","58","Muscular","In a Relationship","2019-09-14","East Coast Region: Kelantan, Terengganu, Pahang,","Model & Electronic (tinkering electronics, cars);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Black","Action;Comedy;Drama;Fantasy;Horror;Mystery;Thriller;Western","Science","M40 (Middle 40%)","I","S","T","J","Food and Snacks;Technology Gadgets;Vacation"
"2021/05/14 3:02:47 PM GMT+8","Male","2000-02-18","Aquarius (Jan 20-Feb 18)","175","60","Slim","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Arts & Crafts (embroidery, knitting, drawing);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Black","Comedy;Drama;Horror;Romance;Thriller;Western","Art","M40 (Middle 40%)","E","S","F","J","Fitness/ Sports Gadgets;Hand Made Gift (handmade photobook, etc..);Vacation"
"2021/05/14 3:13:18 PM GMT+8","Female","1999-12-18","Sagittarius (Nov 22-Dec 21)","155","45","Normal","Single","","Central Region: Selangor, federal territories of Kuala Lumpur and Putrajaya.","Arts & Crafts (embroidery, knitting, drawing);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Purple","Comedy;Drama;Fantasy;Mystery;Romance","Art","M40 (Middle 40%)","E","S","F","P","Food and Snacks;Technology Gadgets;Jewelry (Necklace, Ring, etc..)"
"2021/05/14 3:13:57 PM GMT+8","Female","2001-05-15","Taurus (Apr 20-May 20)","156","43","Normal","In a Relationship","2021-02-28","East Coast Region: Kelantan, Terengganu, Pahang,","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Green","Drama;Fantasy;Romance","Art","M40 (Middle 40%)","E","N","F","P","Hand Made Gift (handmade photobook, etc..);Vacation;Accompaniment (Pets, etc..)"
"2021/05/14 3:19:53 PM GMT+8","Male","1999-07-05","Cancer (Jun 21-Jul 22)","165","63","Normal","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Spiritual and Mental (meditation, self-enrichment sessions)","Purple","Comedy;Horror","Art","M40 (Middle 40%)","I","S","T","P","Food and Snacks;Technology Gadgets;Fitness/ Sports Gadgets"
"2021/05/14 3:34:58 PM GMT+8","Female","2000-07-20","Cancer (Jun 21-Jul 22)","157","49","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Music (performing or listening)","White","Action;Drama;Fantasy;Western","Science","B40 (Bottom 40%)","I","S","T","P","Technology Gadgets;Hand Made Gift (handmade photobook, etc..);Outfit (T-shirt, shoes, etc..)"
"2021/05/14 3:35:48 PM GMT+8","Male","1999-12-10","Sagittarius (Nov 22-Dec 21)","170","63","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking)","White","Action;Comedy;Drama;Horror;Mystery","Science","B40 (Bottom 40%)","I","S","T","J","Technology Gadgets;Outfit (T-shirt, shoes, etc..);Vacation"
"2021/05/14 3:44:36 PM GMT+8","Male","2021-06-23","Cancer (Jun 21-Jul 22)","171","56","Slim","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Purple","Action;Comedy;Drama;Fantasy;Romance","Science","M40 (Middle 40%)","E","S","T","P","Food and Snacks;Technology Gadgets;Fitness/ Sports Gadgets"
"2021/05/14 4:09:27 PM GMT+8","Male","2002-11-06","Scorpio (Oct 23-Nov 21)","162","58.4","Normal","Married","2020-12-15","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Purple","Thriller","Science","M40 (Middle 40%)","E","S","T","P","Vacation;Accompaniment (Pets, etc..);Cash"
"2021/05/14 4:14:03 PM GMT+8","Male","2000-11-09","Scorpio (Oct 23-Nov 21)","168","58","Muscular","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Sports & Outdoors (e-sports doesn't count);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","Purple","Comedy;Horror;Mystery;Romance;Thriller","Science","M40 (Middle 40%)","E","N","F","P","Fitness/ Sports Gadgets;Hand Made Gift (handmade photobook, etc..);Flower"
"2021/05/14 6:54:07 PM GMT+8","Male","2000-11-01","Scorpio (Oct 23-Nov 21)","172","62","Normal","In a Relationship","2016-11-01","Others","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Black","Action;Comedy;Drama;Fantasy;Romance","Art","B40 (Bottom 40%)","I","S","T","J","Technology Gadgets;Hand Made Gift (handmade photobook, etc..);Outfit (T-shirt, shoes, etc..)"
"2021/05/19 5:01:00 PM GMT+8","Male","1999-01-09","Capricorn (Dec 22-Jan 19)","175","57","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Purple","Action","Science","M40 (Middle 40%)","I","S","T","J","Technology Gadgets;Fitness/ Sports Gadgets;Cash"
"2021/05/19 5:01:15 PM GMT+8","Male","1999-01-06","Capricorn (Dec 22-Jan 19)","175","70","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Black","Comedy;Drama;Romance","Science","B40 (Bottom 40%)","I","S","F","P","Food and Snacks;Fitness/ Sports Gadgets;Stationery"
"2021/05/19 5:02:07 PM GMT+8","Male","1999-08-28","Virgo (Aug 23-Sep 22)","164","65","Muscular","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Model & Electronic (tinkering electronics, cars);Sports & Outdoors (e-sports doesn't count)","Blue","Action;Comedy;Drama;Fantasy;Horror;Mystery;Romance;Thriller;Western","Science","M40 (Middle 40%)","I","S","T","J","Technology Gadgets;Fitness/ Sports Gadgets;Cash"
"2021/05/19 5:04:45 PM GMT+8","Female","1999-03-17","Pisces (Feb 19-Mar 20)","157","43","Slim","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Black","","Science","B40 (Bottom 40%)","I","S","T","P","Food and Snacks;Stationery;Cash"
"2021/05/19 5:07:45 PM GMT+8","Male","1999-11-18","Scorpio (Oct 23-Nov 21)","176","80","Normal","In a Relationship","2019-02-26","Southern Region: Negeri Sembilan, Malacca, Johor.","Collecting (stamps, coins);Games (board and computer games);Music (performing or listening)","Blue","Action;Comedy;Mystery","Science","M40 (Middle 40%)","E","N","T","J","Food and Snacks;Technology Gadgets;Flower"
"2021/05/19 5:12:09 PM GMT+8","Male","2021-03-22","Aries (Mar 21-Apr 19)","165","50","Slim","Single","","Central Region: Selangor, federal territories of Kuala Lumpur and Putrajaya.","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Music (performing or listening)","Green","Comedy;Mystery;Thriller","Science","B40 (Bottom 40%)","I","S","T","P","Food and Snacks;Technology Gadgets;Hand Made Gift (handmade photobook, etc..)"
"2021/05/19 5:12:17 PM GMT+8","Female","2000-08-30","Virgo (Aug 23-Sep 22)","157","42","Normal","In a Relationship","2020-02-02","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","White","Comedy;Drama;Romance","Science","M40 (Middle 40%)","I","S","F","J","Hand Made Gift (handmade photobook, etc..);Outfit (T-shirt, shoes, etc..);Vacation"
"2021/05/19 5:19:25 PM GMT+8","Female","1998-03-01","Pisces (Feb 19-Mar 20)","155","40","Slim","In a Relationship","2020-03-25","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","Purple","Drama;Mystery;Romance","Science","B40 (Bottom 40%)","I","S","T","P","Food and Snacks;Technology Gadgets;Stationery"
"2021/05/19 5:20:12 PM GMT+8","Male","1999-02-02","Aquarius (Jan 20-Feb 18)","174","65","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Model & Electronic (tinkering electronics, cars);Sports & Outdoors (e-sports doesn't count)","Blue","Action;Comedy;Drama","Science","B40 (Bottom 40%)","I","N","F","P","Technology Gadgets;Vacation;Cash"
"2021/05/19 5:23:01 PM GMT+8","Female","1998-05-04","Taurus (Apr 20-May 20)","155","46","Normal","In a Relationship","2021-05-05","Northern Region: Perlis, Kedah, Penang, Perak.","Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Blue","Action;Comedy;Drama;Romance","Art","M40 (Middle 40%)","I","S","F","P","Outfit (T-shirt, shoes, etc..);Accompaniment (Pets, etc..);Cash"
"2021/05/19 5:26:21 PM GMT+8","Male","1998-04-22","Taurus (Apr 20-May 20)","167","72","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Blue","Action;Comedy;Drama;Fantasy;Mystery;Romance","Science","M40 (Middle 40%)","I","S","T","J","Food and Snacks;Hand Made Gift (handmade photobook, etc..);Flower"
"2021/05/19 5:26:27 PM GMT+8","Male","1998-10-30","Scorpio (Oct 23-Nov 21)","163","72","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Collecting (stamps, coins);Games (board and computer games);Spiritual and Mental (meditation, self-enrichment sessions)","Black","Action;Comedy;Horror","Science","B40 (Bottom 40%)","I","S","T","J","Food and Snacks;Technology Gadgets;Hand Made Gift (handmade photobook, etc..)"
"2021/05/19 5:29:23 PM GMT+8","Female","1999-11-17","Scorpio (Oct 23-Nov 21)","160","50","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Arts & Crafts (embroidery, knitting, drawing);Performing Arts (drawing, sculpting, cooking);Spiritual and Mental (meditation, self-enrichment sessions)","Black","Action;Comedy;Mystery","Science","M40 (Middle 40%)","I","S","T","J","Food and Snacks;Technology Gadgets;Stationery"
"2021/05/19 5:31:26 PM GMT+8","Male","0098-07-13","Cancer (Jun 21-Jul 22)","162","94.5","Normal","Single","","Central Region: Selangor, federal territories of Kuala Lumpur and Putrajaya.","Model & Electronic (tinkering electronics, cars);Sports & Outdoors (e-sports doesn't count);Spiritual and Mental (meditation, self-enrichment sessions)","Blue","Action;Comedy","Science","T20 (Top 20%)","I","N","T","P","Food and Snacks;Technology Gadgets;Vacation"
"2021/05/19 5:33:19 PM GMT+8","Male","1998-04-16","Aries (Mar 21-Apr 19)","165","45","Slim","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Model & Electronic (tinkering electronics, cars);Music (performing or listening)","White","Action;Mystery;Thriller","Science","B40 (Bottom 40%)","I","N","T","P","Technology Gadgets;Jewelry (Necklace, Ring, etc..);Outfit (T-shirt, shoes, etc..)"
"2021/05/19 5:36:19 PM GMT+8","Female","1999-05-27","Gemini (May 21-Jun 20)","157","49","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Blue","Drama","Science","M40 (Middle 40%)","I","N","F","J","Technology Gadgets;Vacation;I would choose all"
